"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",28,"Baja","No","7","8","5","NS/NR","Está progresando","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Media","Sí","9","7","7","6","Está estancado","NS/NR","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",25,"Baja","Sí","9","9","NS/NR","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",47,"Media alta","No","5","5","5","10 Derecha","Está estancado","Un poco peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",28,"Media baja","No","6","10 Totalmente democrático","7","8","Está estancado","Un poco mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",46,"Baja","No","7","8","NS/NR","5","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Soltero","Masculino",38,"Alta","No","10 Totalmente democrático","10 Totalmente democrático","01 No es democrático","8","Está progresando","Un poco mejor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",24,"Media","No","7","8","6","4","Está estancado","Igual","Poco","Regular","Injusta","NS/NR","Venezuela"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",40,"Baja","Sí","8","7","5","5","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",66,"Media baja","No","10 Totalmente democrático","8","8","2","Está progresando","Un poco mejor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Media baja","Sí","8","01 No es democrático","NS/NR","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Baja","No","9","6","7","5","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",44,"Media baja","No","7","8","8","6","Está progresando","Un poco peor","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",52,"Baja","No","10 Totalmente democrático","NS/NR","NS/NR","4","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",63,"Baja","No","2","3","3","5","Está estancado","Igual","Nada","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Media baja","No","7","10 Totalmente democrático","7","10 Derecha","Está estancado","Un poco peor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",29,"Media baja","No","4","10 Totalmente democrático","10 Totalmente democrático","3","Está en retroceso","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media baja","No","5","4","5","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",50,"Media baja","Sí","5","5","5","6","NS/NR","Mucho peor","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Femenino",21,"Media","Sí","4","6","6","5","Está estancado","Un poco mejor","NS/NR","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media baja","Sí","3","4","4","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",25,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","4","Está estancado","Un poco mejor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",63,"Media","Sí","10 Totalmente democrático","NS/NR","NS/NR","2","Está progresando","Igual","Bastante","Buena","Injusta","NS/NR","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media baja","No","6","8","8","10 Derecha","Está estancado","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",50,"Media","No","9","NS/NR","NS/NR","2","NS/NR","Un poco mejor","Bastante","Buena","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",50,"Media baja","No","8","5","7","5","Está progresando","Mucho mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",68,"Baja","No","7","8","8","3","Está estancado","Igual","Mucho","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",47,"Media baja","No","5","6","8","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Media baja","Sí","5","9","8","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",60,"Media baja","Sí","9","9","9","5","NS/NR","Un poco mejor","NS/NR","Regular","Injusta","NS/NR","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",34,"Media baja","Sí","8","5","5","3","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media baja","No","7","7","7","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",21,"Media baja","No","01 No es democrático","NS/NR","NS/NR","5","Está en retroceso","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",32,"Media baja","No","6","5","6","5","Está estancado","Igual","Bastante","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",58,"Media","No","4","4","3","6","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Media baja","No","7","7","8","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Media","No","8","9","8","8","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",29,"Media","Sí","7","8","8","5","Está progresando","Un poco mejor","Poco","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media baja","No","8","7","9","5","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",18,"Media","Sí","7","9","9","2","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",21,"Media baja","Sí","8","7","7","NS/NR","Está estancado","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",62,"Baja","No","8","NS/NR","8","NS/NR","Está estancado","Mucho peor","NS/NR","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",44,"Media","No","NS/NR","NS/NR","NS/NR","4","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",50,"Media baja","No","7","5","NS/NR","3","Está progresando","Mucho mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Femenino",24,"Media alta","Sí","8","8","5","5","Está progresando","Un poco mejor","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",78,"Media","No","NS/NR","NS/NR","NS/NR","NS/NR","Está progresando","Un poco peor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
